Part1,
0-Easy,
    Mission length=4,
1,27
2,51
3,25
4,24
5,28
    Mission length=6,
1,56
2,48
3,40
4,67
5,45
    Mission length=8,
1,89
2,51
3,70
4,76
5,62
    Mission length=10,
1,97
2,56
3,79
4,90
5,84
    Mission length=12,
1,100
2,76
3,81
4,89
5,124
    Mission length=14,
1,159
2,127
3,104
4,124
5,101
1-Medium,
    Mission length=4,
1,20
2,26
3,54
4,21
5,50
    Mission length=6,
1,40
2,41
3,59
4,59
5,42
    Mission length=8,
1,41
2,75
3,98
4,61
5,83
    Mission length=10,
1,68
2,78
3,84
4,47
5,76
    Mission length=12,
1,80
2,83
3,95
4,90
5,99
    Mission length=14,
1,59
2,120
3,150
4,95
5,130
2-Hard,
    Mission length=4,
1,54
2,37
3,36
4,35
5,32
    Mission length=6,
1,58
2,76
3,59
4,60
5,71
    Mission length=8,
1,94
2,75
3,87
4,65
5,133
    Mission length=10,
1,146
2,109
3,117
4,105
5,108
    Mission length=12,
1,121
2,122
3,128
4,103
5,122
    Mission length=14,
1,162
2,119
3,159
4,126
5,157
Part2,
0-Easy,
    Mission length=8,
1,66
2,57
3,79
4,86
5,66
    Mission length=10,
1,90
2,72
3,91
4,84
5,54
    Mission length=12,
1,91
2,106
3,103
4,115
5,97
    Mission length=14,
1,132
2,120
3,129
4,157
5,110
    Mission length=16,
1,127
2,127
3,140
4,176
5,128
    Mission length=18,
1,142
2,122
3,163
4,150
5,114
1-Medium,
    Mission length=8,
1,56
2,53
3,49
4,66
5,61
    Mission length=10,
1,93
2,82
3,94
4,102
5,59
    Mission length=12,
1,103
2,91
3,111
4,90
5,94
    Mission length=14,
1,103
2,132
3,133
4,108
5,107
    Mission length=16,
1,149
2,98
3,119
4,141
5,113
    Mission length=18,
1,129
2,166
3,206
4,155
5,143
2-Hard,
    Mission length=8,
1,51
2,92
3,87
4,64
5,141
    Mission length=10,
1,90
2,125
3,115
4,137
5,164
    Mission length=12,
1,122
2,90
3,112
4,101
5,175
    Mission length=14,
1,137
2,128
3,148
4,138
5,227
    Mission length=16,
1,179
2,150
3,165
4,179
5,251
    Mission length=18,
1,202
2,202
3,179
4,192
5,325
Part3,
0-Easy,
    Mission length=4,
1,46
2,36
3,33
4,29
5,35
    Mission length=6,
1,93
2,63
3,47
4,50
5,76
    Mission length=8,
1,91
2,82
3,63
4,69
5,129
    Mission length=10,
1,102
2,134
3,82
4,82
5,119
    Mission length=12,
1,136
2,119
3,91
4,117
5,164
    Mission length=14,
1,147
2,144
3,116
4,128
5,174
1-Medium,
    Mission length=4,
1,35
2,43
3,27
4,45
5,42
    Mission length=6,
1,52
2,67
3,40
4,71
5,48
    Mission length=8,
1,73
2,73
3,66
4,95
5,58
    Mission length=10,
1,105
2,95
3,79
4,127
5,51
    Mission length=12,
1,108
2,148
3,73
4,115
5,96
    Mission length=14,
1,145
2,132
3,103
4,148
5,122
2-Hard,
    Mission length=4,
1,35
2,62
3,46
4,50
5,44
    Mission length=6,
1,55
2,74
3,57
4,60
5,55
    Mission length=8,
1,79
2,81
3,70
4,63
5,73
    Mission length=10,
1,75
2,108
3,101
4,107
5,93
    Mission length=12,
1,120
2,104
3,103
4,137
5,115
    Mission length=14,
1,132
2,129
3,132
4,131
5,119
